"excel_row","progreso_raw","progreso_num"
"16","52.3809523809524","52,380952"
"17","80.9523809523809","80,952381"
"18","52.3809523809524","52,380952"
"19","80.9523809523809","80,952381"
"20","100","100"
"21","100","100"
"22","100","100"
"23","80.9523809523809","80,952381"
"24","95.2380952380952","95,238095"
"25","100","100"
"26","100","100"
"47","100","100"
"78","85.7142857142857","85,714286"
"79","100","100"
"80","100","100"
"81","100","100"
"82","80.9523809523809","80,952381"
"83","90.4761904761905","90,47619"
"84","100","100"
"85","100","100"
"86","100","100"
"87","80.9523809523809","80,952381"
"221","100","100"
